time,voltage,current,power,inputVoltage,temperature,outputEnable,protectionState,activeSlot
2026-07-25T01:02:20,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:20,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:20,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:21,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:21,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:21,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:21,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:21,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:21,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:22,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:22,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:22,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:22,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:22,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:22,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:22,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:23,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:23,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:23,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:23,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:23,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:23,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:24,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:24,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:24,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:24,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:24,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:24,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:25,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:25,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:25,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:25,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:25,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:25,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:25,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:26,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:26,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:26,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:26,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:26,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:26,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:27,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:27,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:27,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:27,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:27,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:27,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:27,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:28,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:28,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:28,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:28,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:28,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:28,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:29,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:29,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:29,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:37,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:37,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:37,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:37,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:37,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:37,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:37,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:38,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:38,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:38,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:38,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:38,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:38,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:39,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:39,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:39,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:39,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:39,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:39,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:39,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:40,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:40,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:40,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:40,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:40,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:40,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:41,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:41,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:41,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:41,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:41,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:41,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:42,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:42,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:42,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:42,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:42,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:48,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:48,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:48,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:48,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:48,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:48,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:48,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:49,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:49,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:49,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:49,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:49,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:49,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:50,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:50,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:50,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:50,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:50,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:50,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:50,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:51,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:51,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:51,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:51,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:51,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:51,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:52,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:52,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:52,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:52,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:52,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:52,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:53,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:53,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:53,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:53,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:53,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:53,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:53,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:54,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:54,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:54,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:54,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:54,4.21,0.0,0.0,15.09,47.0,true,0,0
2026-07-25T01:02:54,3.58,1.0,3.58,15.08,47.0,true,0,0
2026-07-25T01:02:55,2.96,2.0,5.92,15.08,47.0,true,0,0
2026-07-25T01:02:55,2.96,2.0,5.92,15.08,47.0,true,0,0
2026-07-25T01:02:55,2.96,2.0,5.92,15.08,47.0,true,0,0
2026-07-25T01:02:55,2.93,2.08,6.08,15.08,47.0,true,0,0
2026-07-25T01:02:55,2.93,2.08,6.08,15.08,47.0,true,0,0
2026-07-25T01:02:55,3.56,1.07,3.83,15.08,47.0,true,0,0
2026-07-25T01:02:55,3.55,1.07,3.82,15.08,47.0,true,0,0
2026-07-25T01:02:56,2.96,2.0,5.92,15.08,47.0,true,0,0
2026-07-25T01:02:56,2.96,2.0,5.92,15.08,47.0,true,0,0
2026-07-25T01:02:56,2.96,2.0,5.92,15.08,47.0,true,0,0
2026-07-25T01:02:56,2.36,2.99,7.07,15.07,47.0,true,0,0
2026-07-25T01:02:56,2.36,2.99,7.07,15.07,47.0,true,0,0
